Your criteria 

Inventory Type:  All Human Remains and Institution: Any and State: Any


"State","Museum or Federal Agency","MNI","AFO","Geographic Origin","County"
"ALABAMA","U.S. Dept. of Defense, Army COE, Mobile District","6","103","GEORGIA","Cherokee"
"ALABAMA","U.S. Dept. of Defense, Army COE, Mobile District","2","0","GEORGIA","Cherokee"
"ALABAMA","U.S. Dept. of Defense, Army COE, Mobile District","1","0","GEORGIA","Bartow"
"ALABAMA","Univ. of Alabama Museums","1","0","ZUnknown",""
"ALABAMA","Univ. of Alabama Museums","55","1","ZUnknown",""
"ALABAMA","Univ. of Alabama Museums","2","0","ALABAMA",""
"ALABAMA","Univ. of Alabama Museums","1","2","ZUnknown",""
"ALABAMA","Univ. of Alabama Museums","1","0","ALABAMA","Covington"
"ALABAMA","Univ. of Alabama Museums","2","0","ZUnknown",""
"ALABAMA","Univ. of Alabama Museums","1","0","ALABAMA","ZUnknown"
"ALABAMA","Univ. of Alabama Museums","1","0","ALABAMA","ZUnknown"
"ALABAMA","Univ. of Alabama Museums","1","0","ALABAMA","ZUnknown"
"ALABAMA","Univ. of Alabama Museums","2","0","ZUnknown",""
"ALABAMA","Univ. of Alabama Museums","3","0","ZUnknown",""
"ALABAMA","Univ. of Alabama Museums","4","0","ZUnknown",""
"ALABAMA","Univ. of Alabama Museums","1","0","FLORIDA","Walton"
"ALABAMA","Univ. of Alabama Museums","15","0","ALABAMA","Washington"
"ALABAMA","Univ. of Alabama Museums","68","85","ARKANSAS","ZUnknown"
"ALABAMA","Univ. of Alabama Museums","25","58","ARKANSAS","ZUnknown"
"ALABAMA","Univ. of Alabama Museums","15","43","ARKANSAS","ZUnknown"
"ALABAMA","Univ. of Alabama Museums","98","103","ARKANSAS","ZUnknown"
"ALABAMA","Univ. of Alabama Museums","2","0","ALABAMA","Sumter"
"ALABAMA","Univ. of Alabama Museums","1","0","ALABAMA","Sumter"
"ALABAMA","Univ. of Alabama Museums","4","0","TEXAS","ZUnknown"
"ALABAMA","Univ. of Alabama Museums","17","0","ALABAMA","Perry"
"ALABAMA","Univ. of Alabama Museums","1","0","ALABAMA","Talladega"
"ALABAMA","Univ. of Alabama Museums","7","5","ALABAMA","Madison"
"ALABAMA","Univ. of Alabama Museums","22","0","ALABAMA","Talladega"
"ALABAMA","Univ. of Alabama Museums","11","0","ALABAMA","Talladega"
"ALABAMA","Univ. of Alabama Museums","1","0","ALABAMA","Talladega"
"ALABAMA","Univ. of Alabama Museums","4","1","ALABAMA","Talladega"
"ALABAMA","Univ. of Alabama Museums","5","1","ALABAMA","Montgomery"
"ALABAMA","Univ. of Alabama Museums","9","3","ALABAMA","Madison"
"ALABAMA","Univ. of Alabama Museums","2","0","ALABAMA","Madison"
"ALABAMA","Univ. of Alabama Museums","34","3174","ALABAMA","Madison"
"ALABAMA","Univ. of Alabama Museums","1","0","ALABAMA","Clarke"
"ALABAMA","Univ. of Alabama Museums","11","0","ALABAMA","Clarke"
"ALABAMA","Univ. of Alabama Museums","7","5","ALABAMA","Clarke"
"ALABAMA","Univ. of Alabama Museums","1","0","ALABAMA","Clarke"
"ALABAMA","Univ. of Alabama Museums","23","1","ALABAMA","Clarke"
"ALABAMA","Univ. of Alabama Museums","1","0","ALABAMA","Clarke"
"ALABAMA","Univ. of Alabama Museums","1","0","ALABAMA","Cherokee"
"ALABAMA","Univ. of Alabama Museums","1","0","ALABAMA","Cherokee"
"ALABAMA","Univ. of Alabama Museums","4","0","ALABAMA","Cherokee"
"ALABAMA","Univ. of Alabama Museums","4","2","ALABAMA","Cherokee"
"ALABAMA","Univ. of Alabama Museums","9","0","GEORGIA","Dade"
"ALABAMA","Univ. of Alabama Museums","1","0","ALABAMA","Cherokee"
"ALABAMA","Univ. of Alabama Museums","114","137","ALABAMA","Marshall"
"ALABAMA","Univ. of Alabama Museums","6","9","ALABAMA","Cherokee"
"ALABAMA","Univ. of Alabama Museums","1373","0","ALABAMA","Marshall"
"ALABAMA","Univ. of Alabama Museums","19","10","ALABAMA","Marshall"
"ALABAMA","Univ. of Alabama Museums","27","61","ALABAMA","Marshall"
"ALABAMA","Univ. of Alabama Museums","1","1","ALABAMA","Cherokee"
"ALABAMA","Univ. of Alabama Museums","24","0","ALABAMA","Jackson"
"ALABAMA","Univ. of Alabama Museums","76","6","ALABAMA","Jackson"
"ALABAMA","Univ. of Alabama Museums","41","0","ALABAMA","Jackson"
"ALABAMA","Univ. of Alabama Museums","5","0","ALABAMA","Cherokee"
"ALABAMA","Univ. of Alabama Museums","7","0","ALABAMA","Calhoun"
"ALABAMA","Univ. of Alabama Museums","12","4","ALABAMA","Cherokee"
"ALABAMA","Univ. of Alabama Museums","1","1","ALABAMA","Cherokee"
"ALABAMA","Univ. of Alabama Museums","49","0","ALABAMA","Jefferson"
"ALABAMA","Univ. of Alabama Museums","2","0","ALABAMA","Bibb"
"ALABAMA","Univ. of Alabama Museums","7","4","ALABAMA","Bibb"
"ALABAMA","Univ. of Alabama Museums","0","2","ALABAMA","Jefferson"
"ALABAMA","Univ. of Alabama Museums","6","0","ALABAMA","Elmore"
"ALABAMA","Univ. of Alabama Museums","1","0","ALABAMA","Baldwin"
"ALABAMA","Univ. of Alabama Museums","23","0","ALABAMA","Mobile"
"ALABAMA","Univ. of Alabama Museums","356","7","ALABAMA","St. Clair"
"ALABAMA","Univ. of Alabama Museums","1","0","ALABAMA","Lamar"
"ALABAMA","Univ. of Alabama Museums","1","0","ALABAMA","Baldwin"
"ALABAMA","Univ. of Alabama Museums","1","0","ALABAMA","Mobile"
"ALABAMA","Univ. of Alabama Museums","4","0","ALABAMA","Mobile"
"ALABAMA","Univ. of Alabama Museums","3","0","ALABAMA","Mobile"
"ALABAMA","Univ. of Alabama Museums","2","0","ALABAMA","Mobile"
"ALABAMA","Univ. of Alabama Museums","1","0","ALABAMA","Mobile"
"ALABAMA","Univ. of Alabama Museums","7","0","ALABAMA","Mobile"
"ALABAMA","Univ. of Alabama Museums","20","1","ALABAMA","Mobile"
"ALABAMA","Univ. of Alabama Museums","1","0","ALABAMA","Wilcox"
"ALABAMA","Univ. of Alabama Museums","1","0","ALABAMA","Wilcox"
"ALABAMA","Univ. of Alabama Museums","14","28","ALABAMA","Jefferson"
"ALABAMA","Univ. of Alabama Museums","2","0","ALABAMA","Baldwin"
"ALABAMA","Univ. of Alabama Museums","16","0","ALABAMA","Walker"
"ALABAMA","Univ. of Alabama Museums","6","14","ALABAMA","Morgan"
"ALABAMA","Univ. of Alabama Museums","9","0","ALABAMA","Morgan"
"ALABAMA","Univ. of Alabama Museums","7","3","ALABAMA","Morgan"
"ALABAMA","Univ. of Alabama Museums","95","109","ALABAMA","Morgan"
"ALABAMA","Univ. of Alabama Museums","3","0","ALABAMA","Morgan"
"ALABAMA","Univ. of Alabama Museums","3","0","ALABAMA","Morgan"
"ALABAMA","Univ. of Alabama Museums","4","0","ALABAMA","Morgan"
"ALABAMA","Univ. of Alabama Museums","7","0","ALABAMA","Morgan"
"ALABAMA","Univ. of Alabama Museums","9","9","ALABAMA","Morgan"
"ALABAMA","Univ. of Alabama Museums","7","0","ALABAMA","Morgan"
"ALABAMA","Univ. of Alabama Museums","2","0","ALABAMA","Randolph"
"ALABAMA","Univ. of Alabama Museums","1","0","ZUnknown","ZUnknown"
"ALABAMA","Univ. of Alabama Museums","2","0","ZUnknown","ZUnknown"
"ALABAMA","Univ. of Alabama Museums","1","0","FLORIDA","Alachua"
"ALABAMA","Univ. of Alabama Museums","1","0","ZUnknown","ZUnknown"
"ALABAMA","Univ. of Alabama Museums","1","0","ZUnknown","ZUnknown"
"ALABAMA","Univ. of Alabama Museums","2","0","ZUnknown","ZUnknown"
"ALABAMA","Univ. of Alabama Museums","1","0","ZUnknown","ZUnknown"
"ALABAMA","Univ. of Alabama Museums","1","0","ZUnknown","ZUnknown"
"ALABAMA","Univ. of Alabama Museums","1","0","ZUnknown","ZUnknown"
"ALABAMA","Univ. of Alabama Museums","1","0","ZUnknown","ZUnknown"
"ALABAMA","Univ. of Alabama Museums","1","0","ZUnknown","ZUnknown"
"ALABAMA","Univ. of Alabama Museums","1","0","ZUnknown","ZUnknown"
"ALABAMA","Univ. of Alabama Museums","1","0","ZUnknown","ZUnknown"
"ALABAMA","Univ. of Alabama Museums","1","0","ZUnknown","ZUnknown"
"ALABAMA","Univ. of Alabama Museums","1","0","ZUnknown","ZUnknown"
"ALABAMA","Univ. of Alabama Museums","3","0","ZUnknown","ZUnknown"
"ALABAMA","Univ. of Alabama Museums","2","0","ZUnknown","ZUnknown"
"ALABAMA","Univ. of Alabama Museums","1","0","ZUnknown","ZUnknown"
"ALABAMA","Univ. of Alabama Museums","1","0","ZUnknown","ZUnknown"
"ALABAMA","Univ. of Alabama Museums","1","0","ZUnknown","ZUnknown"
"ALABAMA","Univ. of Alabama Museums","1","0","ZUnknown","ZUnknown"
"ALABAMA","Univ. of Alabama Museums","1","0","ZUnknown","ZUnknown"
"ALABAMA","Univ. of Alabama Museums","1","0","ZUnknown","ZUnknown"
"ALABAMA","Univ. of Alabama Museums","1","0","ZUnknown","ZUnknown"
"ALABAMA","Univ. of Alabama Museums","1","0","ZUnknown","ZUnknown"
"ALABAMA","Univ. of Alabama Museums","1","0","ZUnknown","ZUnknown"
"ALABAMA","Anniston Museum of Natural History","3","0","ALABAMA","Calhoun"
"ALABAMA","Anniston Museum of Natural History","12","0","ALABAMA","Calhoun"
"ALABAMA","Anniston Museum of Natural History","6","0","ALABAMA","Calhoun"
"ALABAMA","Anniston Museum of Natural History","6","30","ALABAMA","Calhoun"
"ALABAMA","Anniston Museum of Natural History","7","4","ALABAMA","Calhoun"
"ALABAMA","Anniston Museum of Natural History","1","89","ALABAMA","Calhoun"
"ALABAMA","Anniston Museum of Natural History","1","0","ALABAMA","Jefferson"
"ALABAMA","Anniston Museum of Natural History","2","72","ALABAMA","Calhoun"
"ALABAMA","Anniston Museum of Natural History","1","0","ZUnknown",""
"ALABAMA","McWane Science Center","1","8","ZUnknown",""
"ALABAMA","McWane Science Center","1","7","ZUnknown",""
"ALABAMA","Jacksonville State Univ.","1","0","ALABAMA",""
"ALABAMA","Jacksonville State Univ.","3","0","ALABAMA","Cherokee"
"ALABAMA","Jacksonville State Univ.","2","0","ALABAMA","Cherokee"
"ALABAMA","Jacksonville State Univ.","5","0","ALABAMA","Calhoun"
"ALABAMA","Jacksonville State Univ.","1","0","ALABAMA","Talladega"
"ALABAMA","Jacksonville State Univ.","3","0","ALABAMA","Calhoun"
"ALABAMA","Jacksonville State Univ.","2","0","ALABAMA","Calhoun"
"ALABAMA","Univ. of South Alabama, Center for Archaeological Studies","1","0","ZUnknown",""
"ALABAMA","Univ. of South Alabama, Center for Archaeological Studies","1","1","ZUnknown",""
"ALABAMA","Univ. of South Alabama, Center for Archaeological Studies","1","0","ALABAMA","Monroe"
"ALABAMA","Univ. of South Alabama, Center for Archaeological Studies","2","0","ALABAMA","Washington"
"ALABAMA","Univ. of South Alabama, Center for Archaeological Studies","4","2","ALABAMA","Washington"
"ALABAMA","Univ. of South Alabama, Center for Archaeological Studies","2","3","FLORIDA","Okaloosa"
"ALABAMA","Univ. of South Alabama, Center for Archaeological Studies","1","0","ALABAMA","Clarke"
"ALABAMA","Univ. of South Alabama, Center for Archaeological Studies","1","0","ALABAMA","Baldwin"
"ALABAMA","Univ. of South Alabama, Center for Archaeological Studies","1","0","ALABAMA","Mobile"
"ALABAMA","Univ. of South Alabama, Center for Archaeological Studies","1","0","ALABAMA","Baldwin"
"ALABAMA","Univ. of South Alabama, Center for Archaeological Studies","1","0","ALABAMA","Baldwin"
"ALABAMA","Univ. of South Alabama, Center for Archaeological Studies","1","0","ALABAMA","Mobile"
"ALABAMA","Univ. of South Alabama, Center for Archaeological Studies","4","0","ALABAMA","Baldwin"
"ALABAMA","Univ. of South Alabama, Center for Archaeological Studies","14","158","ALABAMA","Baldwin"
"ALABAMA","Univ. of South Alabama, Center for Archaeological Studies","2","0","ALABAMA","Mobile"
"ALABAMA","Univ. of South Alabama, Center for Archaeological Studies","1","0","ALABAMA","Baldwin"
"ALABAMA","Univ. of South Alabama, Center for Archaeological Studies","2","0","ALABAMA","Baldwin"
"ALABAMA","Univ. of South Alabama, Center for Archaeological Studies","3","0","ALABAMA","Baldwin"
"ALABAMA","Univ. of South Alabama, Center for Archaeological Studies","2","0","ALABAMA","Baldwin"
"ALABAMA","Univ. of South Alabama, Center for Archaeological Studies","2","0","ALABAMA","Baldwin"
"ALABAMA","Univ. of South Alabama, Center for Archaeological Studies","1","0","ALABAMA","Baldwin"
"ALABAMA","Univ. of South Alabama, Center for Archaeological Studies","3","0","ALABAMA","Baldwin"
"ALABAMA","Univ. of South Alabama, Center for Archaeological Studies","3","161","ALABAMA","Mobile"
"ALABAMA","Univ. of South Alabama, Center for Archaeological Studies","7","0","ALABAMA","Mobile"
"ALASKA","Alaska State Museum","1","0","ALASKA","Northwest Arctic"
"ALASKA","Alaska State Museum","1","0","ALASKA","ZUnknown"
"ALASKA","Univ. of Alaska, Anchorage, Dept. of Anthropology","1","0","ALASKA","Kenai Peninsula"
"ALASKA","Univ. of Alaska Museum of the North","1","0","ALASKA","Valdez-Cordova"
"ALASKA","Univ. of Alaska Museum of the North","1","2","ALASKA","Valdez-Cordova"
"ALASKA","Univ. of Alaska Museum of the North","1","0","ALASKA","Valdez-Cordova"
"ALASKA","Univ. of Alaska Museum of the North","1","0","ALASKA","Valdez-Cordova"
"ALASKA","Univ. of Alaska Museum of the North","4","0","ALASKA",""
"ALASKA","Univ. of Alaska Museum of the North","10","0","ZUnknown",""
"ALASKA","Univ. of Alaska Museum of the North","7","0","ALASKA",""
"ALASKA","Univ. of Alaska Museum of the North","6","0","ZUnknown",""
"ALASKA","Univ. of Alaska Museum of the North","11","0","ALASKA",""
"ALASKA","Univ. of Alaska Museum of the North","1","3","ALASKA",""
"ALASKA","Univ. of Alaska Museum of the North","13","0","ALASKA",""
"ALASKA","Univ. of Alaska Museum of the North","1","0","ZUnknown",""
"ALASKA","Univ. of Alaska Museum of the North","1","0","ALASKA",""
"ALASKA","Univ. of Alaska Museum of the North","6","0","ZUnknown",""
"ALASKA","Univ. of Alaska Museum of the North","18","0","ALASKA",""
"ALASKA","Univ. of Alaska Museum of the North","2","0","ALASKA",""
"ALASKA","Univ. of Alaska Museum of the North","2","0","ALASKA",""
"ALASKA","Univ. of Alaska Museum of the North","2","0","ALASKA",""
"ALASKA","Univ. of Alaska Museum of the North","1","1","ALASKA",""
"ALASKA","Univ. of Alaska Museum of the North","1","0","OREGON",""
"ALASKA","Univ. of Alaska Museum of the North","5","0","ALASKA",""
"ALASKA","Univ. of Alaska Museum of the North","4","3","ZUnknown",""
"ALASKA","Univ. of Alaska Museum of the North","2","0","ZUnknown",""
"ALASKA","Univ. of Alaska Museum of the North","12","0","ALASKA",""
"ALASKA","Univ. of Alaska Museum of the North","1","0","ALASKA",""
"ALASKA","Univ. of Alaska Museum of the North","1","0","ALASKA",""
"ALASKA","Univ. of Alaska Museum of the North","5","0","ALASKA",""
"ALASKA","Univ. of Alaska Museum of the North","1","11","ALASKA",""
"ALASKA","Univ. of Alaska Museum of the North","2","0","ALASKA",""
"ALASKA","Univ. of Alaska Museum of the North","7","0","ALASKA",""
"ALASKA","Univ. of Alaska Museum of the North","14","0","ZUnknown",""
"ALASKA","Univ. of Alaska Museum of the North","15","1","ALASKA",""
"ALASKA","Univ. of Alaska Museum of the North","10","0","ZUnknown",""
"ALASKA","Univ. of Alaska Museum of the North","22","1","ALASKA",""
"ALASKA","Alaska Office of History and Archeology","0","0","ALASKA","Kenai Peninsula"
"ALASKA","Alaska Office of History and Archeology","1","0","ALASKA","Matanuska-Susitna"
"ALASKA","Alaska Office of History and Archeology","1","0","ALASKA","Kodiak Island"
"ALASKA","Alaska Office of History and Archeology","1","0","ALASKA","Kodiak Island"
"ALASKA","Alaska Office of History and Archeology","1","0","ALASKA","Kodiak Island"
"ALASKA","Alaska Office of History and Archeology","1","0","ALASKA","Ketchikan Gateway"
"ALASKA","Alaska Office of History and Archeology","1","0","ALASKA","North Slope"
"ALASKA","Alaska Office of History and Archeology","1","0","ALASKA","Kenai Peninsula"
"ALASKA","Alaska Office of History and Archeology","0","156","ALASKA","Kenai Peninsula"
"ALASKA","Alaska Office of History and Archeology","1","0","ALASKA","Northwest Arctic"
"ALASKA","Alaska Office of History and Archeology","1","0","ALASKA","ZUnknown"
"ALASKA","U.S. Dept. of Interior, BLM, Alaska State Office","1","0","ALASKA","ZUnknown"
"ALASKA","U.S. Dept. of Agriculture, FS, Tongass NF, All Areas","2","0","ALASKA","Wrangell-Petersburg"
"ALASKA","U.S. Dept. of Agriculture, FS, Tongass NF, All Areas","1","0","ALASKA","Skagway-Hoonah-Angoon"
"ALASKA","U.S. Dept. of Agriculture, FS, Tongass NF, All Areas","2","0","ALASKA","Sitka"
"ALASKA","U.S. Dept. of Agriculture, FS, Tongass NF, All Areas","1","0","ALASKA",""
"ALASKA","U.S. Dept. of Agriculture, FS, Tongass NF, All Areas","2","0","ALASKA",""
"ALASKA","U.S. Dept. of Agriculture, FS, Tongass NF, All Areas","1","0","ALASKA",""
"ALASKA","State of Alaska Medical Examiner Office","1","0","ALASKA","ZUnknown"
"ALASKA","State of Alaska Medical Examiner Office","1","0","ALASKA","ZUnknown"
"ALASKA","State of Alaska Medical Examiner Office","1","0","ALASKA","ZUnknown"
"ALASKA","State of Alaska Medical Examiner Office","1","0","ALASKA","ZUnknown"
"ALASKA","State of Alaska Medical Examiner Office","1","0","ALASKA","ZUnknown"
"ALASKA","State of Alaska Medical Examiner Office","1","0","ALASKA","ZUnknown"
"ALASKA","State of Alaska Medical Examiner Office","1","0","ALASKA","ZUnknown"
"ALASKA","State of Alaska Medical Examiner Office","1","0","ALASKA","Nome"
"ALASKA","State of Alaska Medical Examiner Office","1","0","ALASKA","Nome"
"ALASKA","State of Alaska Medical Examiner Office","4","0","ALASKA","ZUnknown"
"ALASKA","State of Alaska Medical Examiner Office","1","0","ALASKA","ZUnknown"
"ALASKA","State of Alaska Medical Examiner Office","1","0","ALASKA","ZUnknown"
"ALASKA","State of Alaska Medical Examiner Office","1","0","ALASKA","Kenai Peninsula"
"ALASKA","State of Alaska Medical Examiner Office","1","0","ALASKA","Nome"
"ALASKA","State of Alaska Medical Examiner Office","1","0","ALASKA","Nome"
"ALASKA","State of Alaska Medical Examiner Office","1","0","ALASKA","Nome"
"ALASKA","State of Alaska Medical Examiner Office","1","0","ALASKA","Bethel"
"ALASKA","State of Alaska Medical Examiner Office","1","0","ALASKA","Kenai Peninsula"
"ALASKA","State of Alaska Medical Examiner Office","1","0","ALASKA","Denali"
"ARIZONA","U.S. Dept. of Agriculture, FS, Tonto NF","9","5","ZUnknown",""
"ARIZONA","U.S. Dept. of Agriculture, FS, Tonto NF","3","3","ARIZONA","ZUnknown"
"ARIZONA","U.S. Dept. of Agriculture, FS, Tonto NF","2","0","ARIZONA","Gila"
"ARIZONA","U.S. Dept. of Agriculture, FS, Tonto NF","1","44","ARIZONA","Gila"
"ARIZONA","U.S. Dept. of Agriculture, FS, Tonto NF","1","4","ARIZONA","Gila"
"ARIZONA","U.S. Dept. of Agriculture, FS, Tonto NF","11","61","ARIZONA","Gila"
"ARIZONA","U.S. Dept. of Agriculture, FS, Tonto NF","2","0","ARIZONA","Gila"
"ARIZONA","U.S. Dept. of Agriculture, FS, Tonto NF","3","0","ARIZONA","Gila"
"ARIZONA","U.S. Dept. of Agriculture, FS, Tonto NF","31","83","ARIZONA","Gila"
"ARIZONA","U.S. Dept. of Agriculture, FS, Tonto NF","1","0","ARIZONA","Gila"
"ARIZONA","U.S. Dept. of Agriculture, FS, Tonto NF","1","0","ARIZONA","Gila"
"ARIZONA","U.S. Dept. of Agriculture, FS, Tonto NF","1","56","ARIZONA","Gila"
"ARIZONA","U.S. Dept. of Agriculture, FS, Tonto NF","1","0","ARIZONA","Gila"
"ARIZONA","U.S. Dept. of Agriculture, FS, Tonto NF","1","0","ARIZONA","Gila"
"ARIZONA","U.S. Dept. of Agriculture, FS, Tonto NF","1","0","ARIZONA","Gila"
"ARIZONA","U.S. Dept. of Agriculture, FS, Tonto NF","1","0","ARIZONA","Gila"
"ARIZONA","U.S. Dept. of Agriculture, FS, Tonto NF","24","0","ARIZONA","Gila"
"ARIZONA","U.S. Dept. of Agriculture, FS, Tonto NF","3","0","ARIZONA","Gila"
"ARIZONA","U.S. Dept. of Interior, NPS, Navajo NM","1","0","ARIZONA","ZUnknown"
"ARIZONA","U.S. Dept. of Interior, NPS, Navajo NM","1","0","ARIZONA","ZUnknown"
"ARIZONA","U.S. Dept. of Interior, NPS, Navajo NM","1","0","ARIZONA","ZUnknown"
"ARIZONA","U.S. Dept. of Interior, NPS, Navajo NM","2","0","ARIZONA","ZUnknown"
"ARIZONA","U.S. Dept. of Interior, NPS, Navajo NM","47","289","ARIZONA","ZUnknown"
"ARIZONA","U.S. Dept. of Interior, NPS, Navajo NM","1","0","ARIZONA","ZUnknown"
"ARIZONA","U.S. Dept. of Interior, NPS, Navajo NM","2","2","ARIZONA","ZUnknown"
"ARIZONA","U.S. Dept. of Interior, NPS, Navajo NM","4","1","ARIZONA","ZUnknown"
"ARIZONA","U.S. Dept. of Interior, NPS, Navajo NM","3","0","ARIZONA","ZUnknown"
"ARIZONA","U.S. Dept. of Interior, NPS, Navajo NM","3","0","ARIZONA","ZUnknown"
"ARIZONA","U.S. Dept. of Interior, NPS, Navajo NM","1","0","ARIZONA","ZUnknown"
"ARIZONA","Eastern Arizona College Foundation","1","0","NEW MEXICO","Grant"
"ARIZONA","Eastern Arizona College Foundation","1","2","ARIZONA","ZUnknown"
"ARIZONA","Eastern Arizona College Foundation","1","0","ARIZONA","ZUnknown"
"ARIZONA","Eastern Arizona College Foundation","1","1","ARIZONA","ZUnknown"
"ARIZONA","Eastern Arizona College Foundation","1","0","ARIZONA","ZUnknown"
"ARIZONA","Eastern Arizona College Foundation","1","0","ARIZONA","Greenlee"
"ARIZONA","Eastern Arizona College Foundation","0","1","ARIZONA","Coconino"
"ARIZONA","Eastern Arizona College Foundation","1","0","ARIZONA","Coconino"
"ARIZONA","Eastern Arizona College Foundation","1","0","ARIZONA","Graham"
"ARIZONA","Eastern Arizona College Foundation","1","0","ARIZONA","Graham"
"ARIZONA","Eastern Arizona College Foundation","1","0","NEW MEXICO","Grant"
"ARIZONA","Eastern Arizona College Foundation","10","0","NEW MEXICO","Grant"
"ARIZONA","Eastern Arizona College Foundation","3","0","ZUnknown",""
"ARIZONA","Eastern Arizona College Foundation","4","0","ZUnknown",""
"ARIZONA","Eastern Arizona College Foundation","1","0","ZUnknown",""
"ARIZONA","Eastern Arizona College Foundation","1","0","ZUnknown",""
"ARIZONA","Eastern Arizona College Foundation","1","0","ZUnknown",""
"ARIZONA","Eastern Arizona College Foundation","1","0","ZUnknown",""
"ARIZONA","Eastern Arizona College Foundation","1","0","ZUnknown",""
"ARIZONA","Arizona State Capitol Museum","1","0","ZUnknown","ZUnknown"
"ARIZONA","U.S. Dept. of Agriculture, FS, Apache-Sitgreaves NF","1","0","ARIZONA","Apache"
"ARIZONA","Museum of Northern Arizona","1","0","ARIZONA","Yavapai"
"ARIZONA","Museum of Northern Arizona","1","0","ZUnknown",""
"ARIZONA","Museum of Northern Arizona","1","0","ZUnknown",""
"ARIZONA","Museum of Northern Arizona","11","0","ZUnknown",""
"ARIZONA","Museum of Northern Arizona","3","2","ZUnknown",""
"ARIZONA","Museum of Northern Arizona","5","5","ZUnknown",""
"ARIZONA","Museum of Northern Arizona","9","0","ZUnknown",""
"ARIZONA","Museum of Northern Arizona","1","0","ZUnknown",""
"ARIZONA","Museum of Northern Arizona","1","0","ZUnknown",""
"ARIZONA","Museum of Northern Arizona","3","0","ZUnknown",""
"ARIZONA","Museum of Northern Arizona","1","0","ZUnknown",""
"ARIZONA","Museum of Northern Arizona","1","4","ZUnknown",""
"ARIZONA","Museum of Northern Arizona","2","7","ZUnknown",""
"ARIZONA","Museum of Northern Arizona","2","0","ZUnknown",""
"ARIZONA","Museum of Northern Arizona","4","0","ZUnknown",""
"ARIZONA","Museum of Northern Arizona","1","0","ZUnknown",""
"ARIZONA","Museum of Northern Arizona","1","0","ZUnknown",""
"ARIZONA","Museum of Northern Arizona","1","2","NEW MEXICO","San Juan"
"ARIZONA","Museum of Northern Arizona","2","0","ARIZONA","Yavapai"
"ARIZONA","Museum of Northern Arizona","1","0","ARIZONA","Yavapai"
"ARIZONA","Museum of Northern Arizona","1","0","ARIZONA","Coconino"
"ARIZONA","Museum of Northern Arizona","1","0","NEW MEXICO","ZUnknown"
"ARIZONA","Museum of Northern Arizona","1","0","ZUnknown","ZUnknown"
"ARIZONA","Museum of Northern Arizona","1","0","ARIZONA","Coconino"
"ARIZONA","Museum of Northern Arizona","1","0","ARIZONA","Coconino"
"ARIZONA","Museum of Northern Arizona","1","0","ARIZONA","Coconino"
